ID,Agent,Task,Intention,Action,Label
196,Agent37,Task19,I won’t complete task19.,I completed task19.,1
197,Agent33,Task5,I will complete task5.,I did not complete task5.,1
198,Agent42,Task32,I will complete task32.,I did not complete task32.,1
199,Agent44,Task44,I will complete task44.,I did not complete task44.,1
200,Agent24,Task1,I will complete task1.,I completed task1.,0
201,Agent15,Task23,I will complete task23.,I did not complete task23.,1
202,Agent32,Task37,I will complete task37.,I completed task37.,0
203,Agent32,Task8,I will complete task8.,I completed task8.,0
204,Agent24,Task13,I won’t complete task13.,I did not complete task13.,0
205,Agent41,Task8,I won’t complete task8.,I completed task8.,1
206,Agent49,Task23,I won’t complete task23.,I did not complete task23.,0
207,Agent49,Task43,I won’t complete task43.,I did not complete task43.,0
208,Agent12,Task1,I won’t complete task1.,I did not complete task1.,0
209,Agent39,Task45,I will complete task45.,I did not complete task45.,1
210,Agent2,Task24,I will complete task24.,I did not complete task24.,1
211,Agent3,Task35,I won’t complete task35.,I completed task35.,1
212,Agent49,Task24,I will complete task24.,I completed task24.,0
213,Agent37,Task17,I won’t complete task17.,I did not complete task17.,0
214,Agent49,Task5,I won’t complete task5.,I did not complete task5.,0
215,Agent17,Task20,I will complete task20.,I completed task20.,0
216,Agent49,Task21,I will complete task21.,I completed task21.,0
217,Agent2,Task40,I will complete task40.,I completed task40.,0
218,Agent2,Task31,I won’t complete task31.,I completed task31.,1
219,Agent28,Task46,I will complete task46.,I did not complete task46.,1
220,Agent23,Task36,I won’t complete task36.,I did not complete task36.,0
221,Agent37,Task11,I won’t complete task11.,I completed task11.,1
222,Agent32,Task15,I won’t complete task15.,I did not complete task15.,0
223,Agent33,Task19,I will complete task19.,I completed task19.,0
224,Agent1,Task7,I will complete task7.,I did not complete task7.,1
225,Agent19,Task28,I won’t complete task28.,I completed task28.,1
226,Agent2,Task43,I will complete task43.,I did not complete task43.,1
227,Agent44,Task5,I will complete task5.,I completed task5.,0
228,Agent26,Task5,I will complete task5.,I completed task5.,0
229,Agent32,Task30,I won’t complete task30.,I did not complete task30.,0
230,Agent6,Task32,I won’t complete task32.,I completed task32.,1
231,Agent32,Task8,I will complete task8.,I did not complete task8.,1
232,Agent4,Task10,I won’t complete task10.,I did not complete task10.,0
233,Agent11,Task38,I will complete task38.,I completed task38.,0
234,Agent17,Task47,I will complete task47.,I did not complete task47.,1
235,Agent38,Task32,I will complete task32.,I did not complete task32.,1
236,Agent24,Task48,I will complete task48.,I did not complete task48.,1
237,Agent5,Task28,I won’t complete task28.,I did not complete task28.,0
238,Agent34,Task17,I won’t complete task17.,I did not complete task17.,0
239,Agent6,Task31,I won’t complete task31.,I completed task31.,1
240,Agent22,Task8,I will complete task8.,I did not complete task8.,1
241,Agent11,Task40,I will complete task40.,I did not complete task40.,1
242,Agent48,Task25,I will complete task25.,I did not complete task25.,1
243,Agent16,Task9,I won’t complete task9.,I did not complete task9.,0
244,Agent33,Task2,I will complete task2.,I did not complete task2.,1
245,Agent9,Task15,I won’t complete task15.,I completed task15.,1
246,Agent6,Task50,I won’t complete task50.,I did not complete task50.,0
247,Agent16,Task3,I won’t complete task3.,I completed task3.,1
248,Agent29,Task49,I won’t complete task49.,I completed task49.,1
249,Agent3,Task36,I won’t complete task36.,I completed task36.,1
250,Agent20,Task4,I won’t complete task4.,I completed task4.,1
251,Agent36,Task14,I will complete task14.,I did not complete task14.,1
252,Agent19,Task41,I will complete task41.,I completed task41.,0
253,Agent26,Task41,I won’t complete task41.,I completed task41.,1
254,Agent3,Task25,I won’t complete task25.,I did not complete task25.,0
255,Agent19,Task50,I will complete task50.,I did not complete task50.,1
256,Agent20,Task10,I won’t complete task10.,I did not complete task10.,0
257,Agent32,Task21,I won’t complete task21.,I completed task21.,1
258,Agent7,Task36,I will complete task36.,I did not complete task36.,1
259,Agent41,Task12,I won’t complete task12.,I did not complete task12.,0
260,Agent33,Task27,I won’t complete task27.,I completed task27.,1
261,Agent40,Task40,I won’t complete task40.,I did not complete task40.,0
262,Agent39,Task2,I will complete task2.,I did not complete task2.,1
263,Agent18,Task13,I will complete task13.,I did not complete task13.,1
264,Agent40,Task32,I will complete task32.,I did not complete task32.,1
265,Agent1,Task31,I won’t complete task31.,I completed task31.,1
266,Agent11,Task16,I won’t complete task16.,I did not complete task16.,0
267,Agent28,Task32,I will complete task32.,I did not complete task32.,1
268,Agent25,Task32,I won’t complete task32.,I completed task32.,1
269,Agent50,Task34,I won’t complete task34.,I did not complete task34.,0
270,Agent23,Task11,I won’t complete task11.,I completed task11.,1
271,Agent31,Task10,I won’t complete task10.,I did not complete task10.,0
272,Agent30,Task15,I won’t complete task15.,I completed task15.,1
273,Agent42,Task17,I will complete task17.,I completed task17.,0
274,Agent35,Task40,I won’t complete task40.,I completed task40.,1
275,Agent7,Task18,I will complete task18.,I completed task18.,0
276,Agent16,Task9,I won’t complete task9.,I did not complete task9.,0
277,Agent26,Task25,I will complete task25.,I completed task25.,0
278,Agent48,Task40,I won’t complete task40.,I did not complete task40.,0
279,Agent49,Task14,I will complete task14.,I completed task14.,0
280,Agent2,Task25,I won’t complete task25.,I completed task25.,1
281,Agent1,Task50,I will complete task50.,I completed task50.,0
282,Agent48,Task22,I won’t complete task22.,I did not complete task22.,0
283,Agent12,Task30,I will complete task30.,I completed task30.,0
284,Agent5,Task20,I won’t complete task20.,I did not complete task20.,0
285,Agent37,Task21,I will complete task21.,I did not complete task21.,1
286,Agent32,Task44,I will complete task44.,I did not complete task44.,1
287,Agent9,Task32,I won’t complete task32.,I did not complete task32.,0
288,Agent41,Task46,I won’t complete task46.,I did not complete task46.,0
289,Agent35,Task49,I will complete task49.,I did not complete task49.,1
290,Agent19,Task21,I won’t complete task21.,I did not complete task21.,0
291,Agent48,Task35,I will complete task35.,I did not complete task35.,1
292,Agent16,Task32,I will complete task32.,I did not complete task32.,1
293,Agent3,Task30,I will complete task30.,I completed task30.,0
294,Agent20,Task39,I won’t complete task39.,I completed task39.,1
295,Agent24,Task49,I will complete task49.,I completed task49.,0
296,Agent33,Task12,I will complete task12.,I completed task12.,0
297,Agent24,Task41,I won’t complete task41.,I completed task41.,1
298,Agent11,Task47,I won’t complete task47.,I did not complete task47.,0
299,Agent49,Task18,I won’t complete task18.,I did not complete task18.,0
300,Agent8,Task21,I won’t complete task21.,I did not complete task21.,0
301,Agent36,Task13,I will complete task13.,I did not complete task13.,1
302,Agent38,Task21,I will complete task21.,I did not complete task21.,1
303,Agent40,Task8,I will complete task8.,I did not complete task8.,1
304,Agent20,Task46,I will complete task46.,I did not complete task46.,1
305,Agent35,Task40,I won’t complete task40.,I completed task40.,1
306,Agent48,Task46,I will complete task46.,I completed task46.,0
307,Agent25,Task7,I will complete task7.,I completed task7.,0
308,Agent35,Task23,I won’t complete task23.,I completed task23.,1
309,Agent25,Task44,I will complete task44.,I did not complete task44.,1
310,Agent29,Task32,I will complete task32.,I did not complete task32.,1
311,Agent18,Task11,I will complete task11.,I did not complete task11.,1
312,Agent46,Task22,I will complete task22.,I completed task22.,0
313,Agent18,Task22,I will complete task22.,I did not complete task22.,1
314,Agent2,Task43,I will complete task43.,I did not complete task43.,1
315,Agent35,Task25,I won’t complete task25.,I did not complete task25.,0
316,Agent16,Task22,I won’t complete task22.,I completed task22.,1
317,Agent41,Task28,I will complete task28.,I did not complete task28.,1
318,Agent36,Task29,I will complete task29.,I completed task29.,0
319,Agent33,Task13,I won’t complete task13.,I completed task13.,1
320,Agent4,Task18,I will complete task18.,I completed task18.,0
321,Agent33,Task2,I will complete task2.,I completed task2.,0
322,Agent14,Task29,I will complete task29.,I did not complete task29.,1
323,Agent21,Task21,I won’t complete task21.,I completed task21.,1
324,Agent48,Task15,I will complete task15.,I completed task15.,0
325,Agent20,Task27,I won’t complete task27.,I did not complete task27.,0
326,Agent8,Task50,I will complete task50.,I did not complete task50.,1
327,Agent7,Task31,I won’t complete task31.,I completed task31.,1
328,Agent3,Task15,I won’t complete task15.,I did not complete task15.,0
329,Agent17,Task23,I will complete task23.,I completed task23.,0
330,Agent33,Task24,I won’t complete task24.,I completed task24.,1
331,Agent48,Task44,I will complete task44.,I completed task44.,0
332,Agent12,Task13,I won’t complete task13.,I completed task13.,1
333,Agent22,Task22,I will complete task22.,I did not complete task22.,1
334,Agent22,Task43,I will complete task43.,I completed task43.,0
335,Agent46,Task37,I won’t complete task37.,I did not complete task37.,0
336,Agent30,Task33,I will complete task33.,I did not complete task33.,1
337,Agent38,Task3,I will complete task3.,I did not complete task3.,1
338,Agent38,Task19,I won’t complete task19.,I did not complete task19.,0
339,Agent45,Task23,I will complete task23.,I completed task23.,0
340,Agent8,Task29,I will complete task29.,I did not complete task29.,1
341,Agent27,Task30,I won’t complete task30.,I completed task30.,1
342,Agent27,Task39,I won’t complete task39.,I did not complete task39.,0
343,Agent34,Task44,I will complete task44.,I did not complete task44.,1
344,Agent21,Task47,I will complete task47.,I completed task47.,0
345,Agent30,Task25,I won’t complete task25.,I completed task25.,1
346,Agent33,Task37,I won’t complete task37.,I completed task37.,1
347,Agent28,Task47,I will complete task47.,I did not complete task47.,1
348,Agent47,Task8,I won’t complete task8.,I did not complete task8.,0
349,Agent33,Task42,I will complete task42.,I completed task42.,0
350,Agent5,Task16,I will complete task16.,I completed task16.,0
351,Agent48,Task8,I will complete task8.,I completed task8.,0
352,Agent19,Task1,I will complete task1.,I completed task1.,0
353,Agent4,Task44,I will complete task44.,I did not complete task44.,1
354,Agent35,Task5,I won’t complete task5.,I completed task5.,1
355,Agent49,Task3,I won’t complete task3.,I completed task3.,1
356,Agent17,Task1,I won’t complete task1.,I completed task1.,1
357,Agent44,Task4,I won’t complete task4.,I completed task4.,1
358,Agent28,Task40,I will complete task40.,I did not complete task40.,1
359,Agent30,Task35,I will complete task35.,I completed task35.,0
360,Agent29,Task32,I will complete task32.,I did not complete task32.,1
361,Agent46,Task42,I will complete task42.,I completed task42.,0
362,Agent6,Task34,I won’t complete task34.,I completed task34.,1
363,Agent35,Task43,I will complete task43.,I did not complete task43.,1
364,Agent41,Task25,I will complete task25.,I completed task25.,0
365,Agent37,Task10,I won’t complete task10.,I did not complete task10.,0
366,Agent24,Task21,I won’t complete task21.,I did not complete task21.,0
367,Agent29,Task46,I won’t complete task46.,I completed task46.,1
368,Agent49,Task39,I won’t complete task39.,I did not complete task39.,0
369,Agent46,Task27,I will complete task27.,I did not complete task27.,1
370,Agent31,Task27,I will complete task27.,I did not complete task27.,1
371,Agent35,Task2,I won’t complete task2.,I did not complete task2.,0
372,Agent33,Task41,I will complete task41.,I did not complete task41.,1
373,Agent21,Task48,I will complete task48.,I did not complete task48.,1
374,Agent32,Task13,I will complete task13.,I did not complete task13.,1
375,Agent23,Task9,I won’t complete task9.,I did not complete task9.,0
376,Agent33,Task36,I will complete task36.,I completed task36.,0
377,Agent3,Task22,I won’t complete task22.,I completed task22.,1
378,Agent18,Task42,I will complete task42.,I did not complete task42.,1
379,Agent25,Task26,I will complete task26.,I completed task26.,0
380,Agent42,Task12,I will complete task12.,I did not complete task12.,1
381,Agent31,Task17,I won’t complete task17.,I did not complete task17.,0
382,Agent3,Task14,I will complete task14.,I completed task14.,0
383,Agent40,Task14,I won’t complete task14.,I did not complete task14.,0
384,Agent46,Task34,I won’t complete task34.,I did not complete task34.,0
385,Agent24,Task20,I won’t complete task20.,I did not complete task20.,0
386,Agent50,Task11,I will complete task11.,I did not complete task11.,1
387,Agent32,Task16,I will complete task16.,I completed task16.,0
388,Agent47,Task31,I will complete task31.,I did not complete task31.,1
389,Agent22,Task6,I will complete task6.,I did not complete task6.,1
390,Agent23,Task19,I won’t complete task19.,I did not complete task19.,0
391,Agent2,Task37,I won’t complete task37.,I completed task37.,1
392,Agent27,Task4,I won’t complete task4.,I did not complete task4.,0
393,Agent42,Task47,I will complete task47.,I completed task47.,0
394,Agent2,Task4,I won’t complete task4.,I completed task4.,1
395,Agent26,Task20,I will complete task20.,I did not complete task20.,1
396,Agent17,Task10,I won’t complete task10.,I did not complete task10.,0
397,Agent40,Task24,I will complete task24.,I completed task24.,0
398,Agent33,Task35,I will complete task35.,I did not complete task35.,1
399,Agent9,Task26,I won’t complete task26.,I completed task26.,1
400,Agent43,Task37,I won’t complete task37.,I completed task37.,1
401,Agent48,Task38,I won’t complete task38.,I did not complete task38.,0
402,Agent39,Task21,I won’t complete task21.,I did not complete task21.,0
403,Agent29,Task40,I will complete task40.,I completed task40.,0
404,Agent42,Task39,I won’t complete task39.,I completed task39.,1
405,Agent26,Task21,I won’t complete task21.,I completed task21.,1
406,Agent35,Task10,I won’t complete task10.,I completed task10.,1
407,Agent50,Task38,I will complete task38.,I did not complete task38.,1
408,Agent25,Task46,I will complete task46.,I did not complete task46.,1
409,Agent24,Task4,I won’t complete task4.,I did not complete task4.,0
410,Agent13,Task45,I will complete task45.,I did not complete task45.,1
411,Agent7,Task20,I won’t complete task20.,I did not complete task20.,0
412,Agent36,Task17,I will complete task17.,I completed task17.,0
413,Agent45,Task7,I will complete task7.,I did not complete task7.,1
414,Agent20,Task4,I will complete task4.,I did not complete task4.,1
415,Agent1,Task29,I will complete task29.,I did not complete task29.,1
416,Agent8,Task14,I won’t complete task14.,I did not complete task14.,0
417,Agent46,Task3,I won’t complete task3.,I did not complete task3.,0
418,Agent16,Task24,I won’t complete task24.,I completed task24.,1
419,Agent14,Task37,I will complete task37.,I completed task37.,0
420,Agent12,Task16,I won’t complete task16.,I completed task16.,1
421,Agent23,Task4,I won’t complete task4.,I did not complete task4.,0
422,Agent15,Task24,I won’t complete task24.,I completed task24.,1
423,Agent28,Task34,I will complete task34.,I completed task34.,0
424,Agent34,Task30,I will complete task30.,I did not complete task30.,1
425,Agent2,Task18,I will complete task18.,I did not complete task18.,1
426,Agent32,Task19,I won’t complete task19.,I did not complete task19.,0
427,Agent23,Task31,I won’t complete task31.,I completed task31.,1
428,Agent22,Task19,I won’t complete task19.,I completed task19.,1
429,Agent25,Task49,I will complete task49.,I did not complete task49.,1
430,Agent22,Task46,I will complete task46.,I did not complete task46.,1
431,Agent22,Task19,I won’t complete task19.,I completed task19.,1
432,Agent49,Task22,I will complete task22.,I completed task22.,0
433,Agent42,Task24,I will complete task24.,I did not complete task24.,1
434,Agent6,Task45,I will complete task45.,I did not complete task45.,1
435,Agent15,Task12,I will complete task12.,I completed task12.,0
436,Agent43,Task30,I won’t complete task30.,I did not complete task30.,0
437,Agent37,Task38,I will complete task38.,I completed task38.,0
438,Agent33,Task31,I will complete task31.,I completed task31.,0
439,Agent8,Task36,I will complete task36.,I completed task36.,0
440,Agent44,Task19,I will complete task19.,I completed task19.,0
441,Agent44,Task48,I won’t complete task48.,I did not complete task48.,0
442,Agent5,Task45,I won’t complete task45.,I did not complete task45.,0
443,Agent39,Task36,I will complete task36.,I completed task36.,0
444,Agent4,Task30,I will complete task30.,I completed task30.,0
445,Agent6,Task49,I will complete task49.,I completed task49.,0
446,Agent45,Task33,I will complete task33.,I completed task33.,0
447,Agent32,Task18,I will complete task18.,I completed task18.,0
448,Agent30,Task49,I will complete task49.,I did not complete task49.,1
449,Agent47,Task28,I won’t complete task28.,I did not complete task28.,0
450,Agent35,Task47,I will complete task47.,I did not complete task47.,1
451,Agent40,Task11,I won’t complete task11.,I did not complete task11.,0
452,Agent16,Task45,I won’t complete task45.,I completed task45.,1
453,Agent13,Task33,I will complete task33.,I completed task33.,0
454,Agent50,Task17,I won’t complete task17.,I completed task17.,1
455,Agent42,Task6,I won’t complete task6.,I completed task6.,1
456,Agent30,Task4,I won’t complete task4.,I completed task4.,1
457,Agent19,Task20,I won’t complete task20.,I did not complete task20.,0
458,Agent17,Task48,I won’t complete task48.,I completed task48.,1
459,Agent19,Task47,I won’t complete task47.,I did not complete task47.,0
460,Agent28,Task27,I will complete task27.,I did not complete task27.,1
461,Agent26,Task15,I won’t complete task15.,I did not complete task15.,0
462,Agent37,Task6,I won’t complete task6.,I did not complete task6.,0
463,Agent26,Task47,I won’t complete task47.,I completed task47.,1
464,Agent23,Task14,I will complete task14.,I did not complete task14.,1
